link,answer
https://media.discordapp.net/attachments/959575339481313310/1016989371766931476/unknown.png, Dans/Hors les limites; Dans/Hors la zone d'en but
https://media.discordapp.net/attachments/959575339481313310/1016989749250097262/unknown.png, Pick
https://media.discordapp.net/attachments/959575339481313310/1016989812365983814/unknown.png, Marcher
https://media.discordapp.net/attachments/959575339481313310/1016989874399739935/unknown.png, Infraction de marquage
https://media.discordapp.net/attachments/959575339481313310/1016989948227891281/unknown.png, Compte terminé
https://media.discordapp.net/attachments/959575339481313310/1016990009213075497/unknown.png, Arrêt du jeu 
https://media.discordapp.net/attachments/959575339481313310/1016990062052913232/unknown.png, Hors jeu
https://media.discordapp.net/attachments/959575339481313310/1016990134811500585/unknown.png, Temps mort
https://media.discordapp.net/attachments/959575339481313310/1016990213584736297/unknown.png, Temps mort d'esprit du jeu
https://media.discordapp.net/attachments/959575339481313310/1016990280681009162/unknown.png, Interrruption de jeu (Blessure ou Technique)
https://media.discordapp.net/attachments/959575339481313310/1016990338495287347/unknown.png, 3 garçons 2 filles
https://media.discordapp.net/attachments/959575339481313310/1016990383554699274/unknown.png, 2 garçons 3 filles
https://media.discordapp.net/attachments/959575339481313310/1016990442350465064/unknown.png, Qui a fait l'appel
https://media.discordapp.net/attachments/959575339481313310/1016990485820211200/unknown.png, Changement de joueurs
https://media.discordapp.net/attachments/959575339481313310/1016990522201608232/unknown.png, Brick
